epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0384,3.23279,4.70855,4.27326,0,0,0,0,2.36734,4.64116,4.15884,1.429e-05,1.429e-05,1.429e-05
2,26.7048,3.10964,4.65807,4.27682,0,0,0,0,2.3674,4.64061,4.15874,4.20212e-05,4.20212e-05,4.20212e-05
3,39.957,2.86674,4.73217,4.2701,0,0,0,0,2.36733,4.64012,4.15858,6.86206e-05,6.86206e-05,6.86206e-05
4,53.4154,3.52489,4.68926,4.28928,0,0,0,0,2.36718,4.64038,4.15841,9.40882e-05,9.40882e-05,9.40882e-05
5,68.03,2.95718,4.60788,4.26701,0,0,0,0,2.36685,4.64055,4.15812,0.000118424,0.000118424,0.000118424
6,82.5072,2.98175,4.49957,4.27514,0,0,0,0,2.36629,4.63994,4.15782,0.000141628,0.000141628,0.000141628
7,97.1222,3.04011,4.60123,4.18447,0,0,0,0,2.3654,4.63907,4.15738,0.000163701,0.000163701,0.000163701
8,112.045,3.14243,4.13771,4.18905,0,0,0,0,2.36419,4.63812,4.15692,0.000184641,0.000184641,0.000184641
9,128.319,2.62005,3.99825,4.16637,0,0,0,0,2.36349,4.63797,4.15662,0.00020445,0.00020445,0.00020445
10,143.015,2.78208,4.04101,4.17039,0,0,0,0,2.36219,4.63701,4.15645,0.000223127,0.000223127,0.000223127
11,158.103,2.68638,3.84055,4.11781,0,0,0,0,2.36073,4.63637,4.15645,0.000240672,0.000240672,0.000240672
12,172.895,2.68145,3.88425,4.06406,0,0,0,0,2.35928,4.63558,4.15663,0.000257086,0.000257086,0.000257086
13,188.048,2.82239,3.8743,4.04494,0,0,0,0,2.35784,4.63446,4.15707,0.000272367,0.000272367,0.000272367
14,203.552,3.03185,3.61958,4.03749,0,0,0,0,2.35644,4.63354,4.15791,0.000286517,0.000286517,0.000286517
15,219.015,2.72145,3.47304,3.98419,0,0,0,0,2.35506,4.63154,4.15922,0.000299536,0.000299536,0.000299536
16,234.56,2.58789,3.32086,3.85695,0,0,0,0,2.35429,4.6293,4.16147,0.000311422,0.000311422,0.000311422
17,250.512,2.69799,3.48895,3.81493,0,0,0,0,2.35355,4.62643,4.16425,0.000322177,0.000322177,0.000322177
18,265.843,2.69142,3.16828,3.77758,0,0,0,0,2.35279,4.62303,4.16747,0.0003318,0.0003318,0.0003318
19,280.052,2.85115,3.07796,3.75068,0,0,0,0,2.35162,4.62013,4.1712,0.000340291,0.000340291,0.000340291
20,293.913,2.55768,3.55281,3.72415,0,0,0,0,2.3511,4.61535,4.17526,0.00034765,0.00034765,0.00034765
21,307.997,2.77054,3.26611,3.73861,0,0,0,0,2.35093,4.60894,4.17994,0.000353878,0.000353878,0.000353878
22,322.384,2.47952,3.09638,3.68021,0,0,0,0,2.35085,4.60262,4.18444,0.000358973,0.000358973,0.000358973
23,336.965,2.34597,2.95831,3.54648,0,0,0,0,2.35154,4.59833,4.18988,0.000362937,0.000362937,0.000362937
24,351.958,2.38597,2.9302,3.6454,0,0,0,0,2.36047,4.59293,4.19368,0.00036577,0.00036577,0.00036577
25,366.969,2.22228,2.79125,3.4212,0,0,0,0,2.35289,4.60143,4.19756,0.00036747,0.00036747,0.00036747
26,381.949,2.26598,2.79601,3.41853,0,0,0,0,2.34133,4.61314,4.20113,0.000368039,0.000368039,0.000368039
27,396.364,2.24941,2.84682,3.37703,0,0,0,0,2.33354,4.61552,4.20568,0.000367476,0.000367476,0.000367476
28,411.58,2.29959,2.66304,3.31276,0,0,0,0,2.33354,4.61552,4.20568,0.000365781,0.000365781,0.000365781
29,426.71,2.17094,2.71865,3.33374,0,0,0,0,2.33259,4.60866,4.2113,0.000362955,0.000362955,0.000362955
30,442.375,2.17313,2.69907,3.37784,0,0,0,0,2.33148,4.60305,4.21729,0.000358996,0.000358996,0.000358996
31,457.96,2.28548,2.87007,3.34687,0,0,0,0,2.33148,4.60305,4.21729,0.000353906,0.000353906,0.000353906
32,473.396,2.22157,2.70034,3.29188,0,0,0,0,2.33149,4.60235,4.22401,0.000347684,0.000347684,0.000347684
33,489.035,2.26813,2.65506,3.26886,0,0,0,0,2.33091,4.59829,4.22878,0.000340331,0.000340331,0.000340331
34,505.139,2.08348,2.55989,3.06425,0,0,0,0,2.33091,4.59829,4.22878,0.000331845,0.000331845,0.000331845
35,521.363,2.14325,2.59409,3.12577,0,0,0,0,2.33099,4.59976,4.23268,0.000322228,0.000322228,0.000322228
