epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4724,3.23279,4.70855,4.27326,0,0,0,0,2.36734,4.64116,4.15884,1.429e-05,1.429e-05,1.429e-05
2,31.4808,3.10964,4.65807,4.27682,0,0,0,0,2.3674,4.64061,4.15874,4.20212e-05,4.20212e-05,4.20212e-05
3,44.9103,2.86674,4.73217,4.2701,0,0,0,0,2.36733,4.64012,4.15858,6.86206e-05,6.86206e-05,6.86206e-05
4,60.3445,3.52489,4.68926,4.28928,0,0,0,0,2.36718,4.64038,4.15841,9.40882e-05,9.40882e-05,9.40882e-05
5,77.1929,2.95718,4.60788,4.26701,0,0,0,0,2.36685,4.64055,4.15812,0.000118424,0.000118424,0.000118424
6,94.3079,2.98175,4.49957,4.27514,0,0,0,0,2.36629,4.63994,4.15782,0.000141628,0.000141628,0.000141628
7,109.809,3.04011,4.60123,4.18447,0,0,0,0,2.3654,4.63907,4.15738,0.000163701,0.000163701,0.000163701
8,122.684,3.14243,4.13771,4.18905,0,0,0,0,2.36419,4.63812,4.15692,0.000184641,0.000184641,0.000184641
9,136.503,2.62005,3.99825,4.16637,0,0,0,0,2.36349,4.63797,4.15662,0.00020445,0.00020445,0.00020445
10,150.505,2.78208,4.04101,4.17039,0,0,0,0,2.36219,4.63701,4.15645,0.000223127,0.000223127,0.000223127
11,164.926,2.68638,3.84055,4.11781,0,0,0,0,2.36073,4.63637,4.15645,0.000240672,0.000240672,0.000240672
12,179.476,2.68145,3.88425,4.06406,0,0,0,0,2.35928,4.63558,4.15663,0.000257086,0.000257086,0.000257086
13,194.097,2.82239,3.8743,4.04494,0,0,0,0,2.35784,4.63446,4.15707,0.000272367,0.000272367,0.000272367
14,208.707,3.03185,3.61958,4.03749,0,0,0,0,2.35644,4.63354,4.15791,0.000286517,0.000286517,0.000286517
